grade,car_model,car_use_cond,price,mileage,year,car_id,car_location,indi_car_link,car_type,fuel_type,gear_type
D,1998 Mitsubishi Pajero,Nigerian Used,"₦ 1,111,000","Mileage:  73,016 Km",Year: 1998,Car ID: NG-426518,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/mitsubishi-pajero-1998-manual-ng-426518?filter=,Suv,Petrol,manual
C,2013 Ford Explorer,Nigerian Used,"₦ 4,411,000","Mileage:  136,021 Km",Year: 2013,Car ID: NG-426449,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/ford-explorer-2013-automatic-ng-426449?filter=,Suv,Petrol,automatic
B,2016 Volkswagen Passat,Nigerian Used,"₦ 12,111,000","Mileage:  48,600 Km",Year: 2016,Car ID: NG-426426,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/volkswagen-passat-2016-ng-426426?filter=,Sedan,Petrol,automatic
D,2004 Toyota Corolla,Nigerian Used,"₦ 1,331,000","Mileage:  199,416 Km",Year: 2004,Car ID: NG-426432,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-corolla-2004-ng-426432?filter=,Sedan,Petrol,automatic
C,2002 Toyota Camry,Nigerian Used,"₦ 781,000","Mileage:  220,087 Km",Year: 2002,Car ID: NG-426373,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2002-manual-ng-426373?filter=,Sedan,Petrol,manual
C,2015 Acura Tlx,Nigerian Used,"₦ 3,861,000","Mileage:  49,549 Km",Year: 2015,Car ID: NG-426456,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/acura-tlx-2015-ng-426456?filter=,Sedan,Petrol,automatic
,2017 Lexus Gx,,"₦ 29,710,000",Year: 2017,Car ID: NG-423311,"Mainland 1 - SNB
                                                                                                                        , Lagos","Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/lexus-gx-2017-automatic-ng-423311?filter=,,missing,automatic
D,2004 Nissan Murano,Nigerian Used,"₦ 560,000","Mileage:  49,101 Km",Year: 2004,Car ID: NG-358221,"Onitsha - SNB
                                                                                                                        , Onitsha",https://buy.cars45.com/cars/nissan-murano-2004-automatic-ng-358221?filter=,Suv,Petrol,automatic
D,2002 Honda Cr-V,Nigerian Used,"₦ 798,000",Year: 2002,Car ID: NG-363491,Others,Others,https://buy.cars45.com/cars/honda-cr-v-2002-automatic-ng-363491?filter=,Mpv,Petrol,automatic
C,2012 Mercedes-Benz Glk350,Foreign Used,"₦ 5,000,000","Mileage:  57,174 Km",Year: 2012,Car ID: NG-352314,Others,https://buy.cars45.com/cars/mercedes-benz-glk350-2012-automatic-ng-352314?filter=,Suv,Petrol,automatic
C,2006 Mercedes-Benz Ml500,Nigerian Used,"₦ 2,635,500","Mileage:  147,439 Km",Year: 2006,Car ID: NG-354324,Others,https://buy.cars45.com/cars/mercedes-benz-ml500-2006-automatic-ng-354324?filter=,Suv,Petrol,automatic
C,2014 Chevrolet Camaro,Foreign Used,"₦ 9,910,000","Mileage:  7,000 Km",Year: 2014,Car ID: NG-426619,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/chevrolet-camaro-2014-3-6l-v6-dohc-24v-rwd-ng-426619?filter=,Coupe,Petrol,automatic
C,2015 Mercedes-Benz Glk350,Nigerian Used,"₦ 6,060,000","Mileage:  63,249 Km",Year: 2015,Car ID: NG-426508,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/mercedes-benz-glk350-2015-automatic-ng-426508?filter=,Hatchback,Petrol,automatic
C,2003 Mitsubishi Outlander,Foreign Used,"₦ 1,550,000","Mileage:  241,794 Km",Year: 2003,Car ID: NG-423506,"Kano - SNB
                                                                                                                        , Kano",https://buy.cars45.com/cars/mitsubishi-outlander-2003-automatic-ng-423506?filter=,Suv,Petrol,automatic
D,2003 Toyota Highlander,Nigerian Used,"₦ 1,470,000","Mileage:  139,127 Km",Year: 2003,Car ID: NG-426288,Abuja LST,https://buy.cars45.com/cars/toyota-highlander-2003-suv-ng-426288?filter=,Suv,Petrol,automatic
C,2009 Toyota Corolla,Foreign Used,"₦ 2,625,000","Mileage:  86,038 Km",Year: 2009,Car ID: NG-426227,Abuja LST,https://buy.cars45.com/cars/toyota-corolla-2009-seden-ng-426227?filter=,Sedan,Petrol,automatic
D,2004 Ford Explorer,Foreign Used,"₦ 1,785,000","Mileage:  182,551 Km",Year: 2004,Car ID: NG-426238,Abuja LST,https://buy.cars45.com/cars/ford-explorer-2004-suv-ng-426238?filter=,Suv,Petrol,automatic
C,2007 Toyota Camry,Foreign Used,"₦ 2,415,000","Mileage:  162,770 Km",Year: 2007,Car ID: NG-426250,Abuja LST,https://buy.cars45.com/cars/toyota-camry-2007-seden-ng-426250?filter=,Sedan,Petrol,automatic
D,2008 Honda Odyssey,Nigerian Used,"₦ 1,050,000","Mileage:  191,897 Km",Year: 2008,Car ID: NG-426267,Abuja LST,https://buy.cars45.com/cars/honda-odyssey-2008-mpv-ng-426267?filter=,Mpv,Petrol,automatic
C,1999 Mercedes-Benz Ml320,Nigerian Used,"₦ 561,000","Mileage:  126,733 Km",Year: 1999,Car ID: NG-425594,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/mercedes-benz-ml320-1999-automatic-ng-425594?filter=,About,Us,Terms
